ds,y
2008-12-07,1355
2008-12-08,2146
2008-12-09,2226
2008-12-10,2261
2008-12-11,2122
2008-12-12,1991
2008-12-13,1264
2008-12-14,1434
2008-12-15,1893
2008-12-16,1953
2008-12-17,1949
2008-12-18,1840
2008-12-19,1776
2008-12-20,1282
2008-12-21,1353
2008-12-22,1878
2008-12-23,1722
2008-12-24,2051
2008-12-25,1514
2008-12-26,1426
2008-12-27,1209
2008-12-28,1276
2008-12-29,1916
2008-12-30,1853
2008-12-31,1866
2009-01-01,1715
2009-01-02,1959
2009-01-03,1725
2009-01-04,1601
2009-01-05,3090
2009-01-06,2912
2009-01-07,2480
2009-01-08,2392
2009-01-09,2139
2009-01-10,1567
2009-01-11,1639
2009-01-12,2731
2009-01-13,2825
2009-01-14,2382
2009-01-15,2559
2009-01-16,2397
2009-01-17,1633
2009-01-18,1610
2009-01-19,2977
2009-01-20,2903
2009-01-21,2780
2009-01-22,2778
2009-01-23,2194
2009-01-24,1616
2009-01-25,1820
2009-01-26,2812
2009-01-27,2964
2009-01-28,2810
2009-01-29,2898
2009-01-30,2719
2009-01-31,1951
2009-02-01,2081
2009-02-02,3559
2009-02-03,3323
2009-02-04,3476
2009-02-05,3369
2009-02-06,2779
2009-02-07,2137
2009-02-08,2656
2009-02-09,4508
2009-02-10,3956
2009-02-11,4073
2009-02-12,3793
2009-02-13,3472
2009-02-14,2383
2009-02-15,3221
2009-02-16,5042
2009-02-17,5139
2009-02-18,4628
2009-02-19,4803
2009-02-20,4819
2009-02-21,3173
2009-02-22,4001
2009-02-23,7951
2009-02-24,8169
2009-02-25,8324
2009-02-26,8489
2009-02-27,8365
2009-02-28,6571
2009-03-01,13479
2009-03-02,22663
2009-03-03,19667
2009-03-04,20434
2009-03-05,23740
2009-03-06,36271
2009-03-07,51298
2009-03-08,160283
2009-03-09,57464
2009-03-10,22842
2009-03-11,13390
2009-03-12,9860
2009-03-13,7396
2009-03-14,4881
2009-03-15,6027
2009-03-16,8951
2009-03-17,7312
2009-03-18,7042
2009-03-19,6884
2009-03-20,7481
2009-03-21,6105
2009-03-22,8837
2009-03-23,8452
2009-03-24,6867
2009-03-25,6786
2009-03-26,7458
2009-03-27,9607
2009-03-28,18334
2009-03-29,26914
2009-03-30,13216
2009-03-31,7618
2009-04-01,5516
2009-04-02,4661
2009-04-03,4487
2009-04-04,6301
2009-04-05,4845
2009-04-06,5031
2009-04-07,4057
2009-04-08,3663
2009-04-09,2863
2009-04-10,2293
2009-04-11,1647
2009-04-12,1777
2009-04-13,2478
2009-04-14,2991
2009-04-15,2959
2009-04-16,2566
2009-04-17,2282
2009-04-18,1553
2009-04-19,1648
2009-04-20,2440
2009-04-21,2585
2009-04-22,2405
2009-04-23,2217
2009-04-24,2114
2009-04-25,1474
2009-04-26,1478
2009-04-27,2245
2009-04-28,2307
2009-04-29,2178
2009-04-30,2363
2009-05-01,1707
2009-05-02,1406
2009-05-03,1530
2009-05-04,2175
2009-05-05,2412
2009-05-06,2317
2009-05-07,2249
2009-05-08,1940
2009-05-09,1363
2009-05-10,1369
2009-05-11,2173
2009-05-12,2388
2009-05-13,2416
2009-05-14,2530
2009-05-15,2345
2009-05-16,1780
2009-05-17,2018
2009-05-18,2595
2009-05-19,2608
2009-05-20,2406
2009-05-21,2461
2009-05-22,2167
2009-05-23,1396
2009-05-24,1406
2009-05-25,2114
2009-05-26,2574
2009-05-27,2491
2009-05-28,2420
2009-05-29,1899
2009-05-30,1482
2009-05-31,1685
2009-06-01,2527
2009-06-02,2609
2009-06-03,2365
2009-06-04,2369
2009-06-05,2078
2009-06-06,1675
2009-06-07,1664
2009-06-08,2300
2009-06-09,2382
2009-06-10,2422
2009-06-11,2223
2009-06-12,2268
2009-06-13,1466
2009-06-14,1446
2009-06-15,2482
2009-06-16,2402
2009-06-17,2446
2009-06-18,2443
2009-06-19,2409
2009-06-20,1707
2009-06-21,2119
2009-06-22,2598
2009-06-23,2576
2009-06-24,2550
2009-06-25,2093
2009-06-26,1893
2009-06-27,1340
2009-06-28,1490
2009-06-29,2238
2009-06-30,2336
2009-07-01,2225
2009-07-02,2194
2009-07-03,1861
2009-07-04,1461
2009-07-05,1300
2009-07-06,2169
2009-07-07,2285
2009-07-08,2215
2009-07-09,2349
2009-07-10,1977
2009-07-11,1336
2009-07-12,1398
2009-07-13,2254
2009-07-14,2179
2009-07-15,2188
2009-07-16,1986
2009-07-17,1785
2009-07-18,1231
2009-07-19,1375
2009-07-20,2364
2009-07-21,2331
2009-07-22,2216
2009-07-23,2156
2009-07-24,1989
2009-07-25,1386
2009-07-26,1327
2009-07-27,2264
2009-07-28,2229
2009-07-29,2318
2009-07-30,2409
2009-07-31,1999
2009-08-01,1404
2009-08-02,1515
2009-08-03,2345
2009-08-04,2467
2009-08-05,2376
2009-08-06,2263
2009-08-07,2227
2009-08-08,1492
2009-08-09,1700
2009-08-10,2511
2009-08-11,2577
2009-08-12,2828
2009-08-13,2362
2009-08-14,2203
2009-08-15,1465
2009-08-16,1650
2009-08-17,2929
2009-08-18,2627
2009-08-19,2780
2009-08-20,2533
2009-08-21,2493
2009-08-22,1745
2009-08-23,2042
2009-08-24,3213
2009-08-25,3335
2009-08-26,3174
2009-08-27,3330
2009-08-28,2744
2009-08-29,1999
2009-08-30,2495
2009-08-31,4367
2009-09-01,4331
2009-09-02,4557
2009-09-03,3946
2009-09-04,3587
2009-09-05,2409
2009-09-06,2909
2009-09-07,4065
2009-09-08,5745
2009-09-09,5136
2009-09-10,4699
2009-09-11,4294
2009-09-12,3060
2009-09-13,3731
2009-09-14,6169
2009-09-15,6313
2009-09-16,5744
2009-09-17,5910
2009-09-18,5643
2009-09-19,4071
2009-09-20,5071
2009-09-21,9898
2009-09-22,11273
2009-09-23,0
2009-09-24,7511
2009-09-25,0
2009-09-26,0
2009-09-27,0
2009-09-28,12139
2009-09-29,10425
2009-09-30,9902
2009-10-01,10778
2009-10-02,9806
2009-10-03,10626
2009-10-04,12938
2009-10-05,15546
2009-10-06,10333
2009-10-07,10522
2009-10-08,10263
2009-10-09,9042
2009-10-10,6810
2009-10-11,10566
2009-10-12,15414
2009-10-13,13543
2009-10-14,0
2009-10-15,0
2009-10-16,0
2009-10-17,8508
2009-10-18,12566
2009-10-19,18442
2009-10-20,15486
2009-10-21,15581
2009-10-22,16827
2009-10-23,21626
2009-10-24,35313
2009-10-25,103434
2009-10-26,70707
2009-10-27,52752
2009-10-28,25876
2009-10-29,27002
2009-10-30,33813
2009-10-31,32375
2009-11-01,103645
2009-11-02,32720
2009-11-03,17569
2009-11-04,11534
2009-11-05,9142
2009-11-06,6964
2009-11-07,3764
2009-11-08,4118
2009-11-09,5317
2009-11-10,8309
2009-11-11,8305
2009-11-12,5565
2009-11-13,4456
2009-11-14,2905
2009-11-15,0
2009-11-16,3886
2009-11-17,3219
2009-11-18,2957
2009-11-19,2989
2009-11-20,2590
2009-11-21,1924
2009-11-22,0
2009-11-23,2686
2009-11-24,2381
2009-11-25,2310
2009-11-26,2164
2009-11-27,3202
2009-11-28,2127
2009-11-29,2131
2009-11-30,3064
2009-12-01,2793
2009-12-02,3390
2009-12-03,2909
2009-12-04,2432
2009-12-05,1688
2009-12-06,1484
2009-12-07,2401
2009-12-08,2088
2009-12-09,2527
2009-12-10,2227
2009-12-11,1999
2009-12-12,1988
2009-12-13,1442
2009-12-14,2014
2009-12-15,2029
2009-12-16,2033
2009-12-17,2147
2009-12-18,1942
2009-12-19,1354
2009-12-20,1383
2009-12-21,2156
2009-12-22,2121
2009-12-23,1959
2009-12-24,1535
2009-12-25,1603
2009-12-26,1493
2009-12-27,1489
2009-12-28,2051
2009-12-29,1874
2009-12-30,1884
2009-12-31,2112
2010-01-01,1955
2010-01-02,1668
2010-01-03,1618
2010-01-04,2278
2010-01-05,2300
2010-01-06,2629
2010-01-07,2739
2010-01-08,2285
2010-01-09,1870
2010-01-10,1730
2010-01-11,3026
2010-01-12,2844
2010-01-13,2785
2010-01-14,2680
2010-01-15,2560
2010-01-16,1738
2010-01-17,1813
2010-01-18,2769
2010-01-19,3016
2010-01-20,2581
2010-01-21,2615
2010-01-22,2521
2010-01-23,0
2010-01-24,0
2010-01-25,2920
2010-01-26,2841
2010-01-27,2670
2010-01-28,2586
2010-01-29,2244
2010-01-30,1844
2010-01-31,2081
2010-02-01,3190
2010-02-02,3084
2010-02-03,2923
2010-02-04,3250
2010-02-05,2793
2010-02-06,2076
2010-02-07,2195
2010-02-08,0
2010-02-09,3630
2010-02-10,3308
2010-02-11,3275
2010-02-12,2737
2010-02-13,2041
2010-02-14,2389
2010-02-15,3521
2010-02-16,3639
2010-02-17,3807
2010-02-18,4238
2010-02-19,3507
2010-02-20,2946
2010-02-21,3964
2010-02-22,5438
2010-02-23,4719
2010-02-24,4156
2010-02-25,4114
2010-02-26,4422
2010-02-27,3872
2010-02-28,4968
2010-03-01,9553
2010-03-02,8666
2010-03-03,7547
2010-03-04,8560
2010-03-05,9454
2010-03-06,15044
2010-03-07,16977
2010-03-08,15722
2010-03-09,16821
2010-03-10,17083
2010-03-11,19426
2010-03-12,32812
2010-03-13,68398
2010-03-14,176409
2010-03-15,66316
2010-03-16,29088
2010-03-17,20924
2010-03-18,16474
2010-03-19,13882
2010-03-20,12447
2010-03-21,12502
2010-03-22,13037
2010-03-23,11489
2010-03-24,12776
2010-03-25,12983
2010-03-26,16277
2010-03-27,23193
2010-03-28,31199
2010-03-29,19593
2010-03-30,14042
2010-03-31,12731
2010-04-01,11816
2010-04-02,9598
2010-04-03,10961
